name,country,city,website,programs,tuition_min,tuition_max,tuition_currency,notes
City University London (INTO),UK,London,https://www.city.ac.uk,,24140,24195,GBP,Provider: INTO. Also available via Kaplan (alternate).
University of Exeter (INTO),UK,Exeter,https://www.exeter.ac.uk,,17620,17715,GBP,Provider: INTO. Foundation and Year 1 only. No direct entry.
University of Manchester (INTO),UK,Manchester,https://www.manchester.ac.uk,,22095,22190,GBP,Provider: INTO.
Anglia Ruskin University (Navitas),UK,Cambridge,https://www.aru.ac.uk,,16000,,GBP,Provider: Navitas. Note: past issues with accommodation.
University of Portsmouth (Navitas),UK,Portsmouth,https://www.port.ac.uk,,15750,,GBP,Provider: Navitas. Price is per 2 semesters.
Brunel University London (Navitas),UK,London,https://www.brunel.ac.uk,,17950,,GBP,Provider: Navitas. Price is per 2 semesters.
Oxford Brookes University (QA),UK,Oxford,https://www.brookes.ac.uk,,17250,18250,GBP,Provider: QA Higher Education. Possible discount of £3000 on Foundation.
Solent University (QA),UK,Southampton,https://www.solent.ac.uk,,17250,18250,GBP,Provider: QA Higher Education. Possible discount of £3000 on Foundation.
Royal Holloway (Study Group),UK,London,https://www.royalholloway.ac.uk,,21310,,GBP,Provider: Study Group.
University of Sheffield (Study Group),UK,Sheffield,https://www.sheffield.ac.uk,,21310,,GBP,Provider: Study Group.
Durham University (Study Group),UK,Durham,https://www.durham.ac.uk,,21310,,GBP,Provider: Study Group.
University of Westminster (Kaplan),UK,London,https://www.westminster.ac.uk,,22760,25530,GBP,Provider: Kaplan. Foundation / Year 1 / Pre-Masters available.
Queen Mary University of London (Kaplan),UK,London,https://www.qmul.ac.uk,,22760,25530,GBP,Provider: Kaplan.
MPW College,UK,London,https://www.mpw.ac.uk,,38750,40600,GBP,School program. GCSE and A-Level available.
David Game College,UK,London,https://www.davidgame.ac.uk,,23650,37500,GBP,School program.
English Path,UK,London,https://www.englishpath.com,,1120,1280,GBP,Language courses. 4-week program. Homestay from £190/week.
Florida International University (Shorelight),USA,Miami,https://www.fiu.edu,,21012,,USD,Provider: Shorelight. Discounts up to $10000 available.
Westcliff University,USA,California,https://www.westcliff.edu,,18408,,USD,Direct admissions.
UE University of Europe,Germany,Berlin,https://www.ue-germany.com,,13000,,EUR,Discounts up to 50% depending on GPA.
University of Debrecen,Hungary,Debrecen,https://www.unideb.hu,,8000,,EUR,Scholarship up to 90% (UD Scholarship). Medical program priced separately.
OCA Prague,Czech Republic,Prague,https://www.oca.cz,,5500,,EUR,
OnCampus Foundation (Netherlands),Netherlands,Various,https://www.oncampus.de,,22440,30460,GBP,2-semester or 3-semester foundation programs.
The Hague University of Applied Sciences (Navitas),Netherlands,The Hague,https://www.thehagueuniversity.com,,14950,,EUR,Provider: Navitas.
Wittenborg University,Netherlands,Apeldoorn,https://www.wittenborg.eu,,11800,,EUR,
HULT International Business School,Global,Various,https://www.hult.edu,,25800,38900,GBP,Campuses in San Francisco / Boston / London / Dubai.
University of Applied Sciences UE Dubai,UAE,Dubai,https://www.ue-germany.com,,13000,,EUR,Discounts up to 50% depending on GPA.
Asia Pacific University (APU),Malaysia,Kuala Lumpur,https://www.apu.edu.my,,8000,9000,USD,Foundation from $8000. Bachelor's $8500-$9000.
Solbridge International School of Business,South Korea,Daejeon,https://www.solbridge.ac.kr,,10000,,USD,Discounts based on interview / English / GPA.
Tokyo International University,Japan,Tokyo,https://www.tiu.ac.jp,,10000,,USD,
Navitas Universities Australia,Australia,Various,https://www.navitas.com,,30000,,AUD,Provider: Navitas. Multiple campuses.
PIHMS Pacific International Hotel Management School,New Zealand,New Plymouth,https://www.pihms.ac.nz,,20000,,USD,
Cardiff University (INTO),UK,Cardiff,https://www.cardiff.ac.uk,,,,GBP,Provider: INTO.
Glasgow Caledonian University (INTO),UK,Glasgow,https://www.gcu.ac.uk,,,,GBP,Provider: INTO.
Hofstra University (INTO),USA,Hempstead,https://www.hofstra.edu,,,,USD,Provider: INTO.
Illinois State University (INTO),USA,Normal,https://illinoisstate.edu,,,,USD,Provider: INTO.
Lancaster University (INTO),UK,Lancaster,https://www.lancaster.ac.uk,,,,GBP,Provider: INTO.
Newcastle University (INTO),UK,Newcastle,https://www.ncl.ac.uk,,,,GBP,Provider: INTO.
Queen's University Belfast (INTO),UK,Belfast,https://www.qub.ac.uk,,,,GBP,Provider: INTO.
Rensselaer Polytechnic Institute (INTO),USA,Troy,https://www.rpi.edu,,,,USD,Provider: INTO.
Saint Louis University (INTO),USA,St. Louis,https://www.slu.edu,,,,USD,Provider: INTO.
