name,tuition_min,tuition_max,tuition_currency,tuition_usd,ielts_min,toefl_min,gpa_min,programs,intakes,application_deadline,scholarship_available,notes,scrape_status
University of Exeter (INTO),17620.0,17715.0,GBP,22377.4,,,,,,,,"University of Exeter is ranked in the global top 200 and offers undergraduate, postgraduate taught, and research degrees across multiple campuses including Streatham, St Luke's, Penryn, and Cornwall locations.",success
Anglia Ruskin University (Navitas),16000.0,,GBP,20320.0,,,,,,,,"ARU offers courses for international students with support services including English language support and International Orientation Programme. The university has campuses in Cambridge, Chelmsford, Peterborough and Writtle.",success
University of Portsmouth (Navitas),15750.0,,GBP,20002.5,,,,,,,,University of Portsmouth offers Connected Degrees - unique 3-year courses with optional 4th year placement. Has campuses in both Portsmouth and London with career-focused programs.,success
Brunel University London (Navitas),17950.0,,GBP,22796.5,,,,,,,,"Brunel University London offers foundation, undergraduate, postgraduate and research programs with online options available. The university is ranked top 3 most international university in the UK and offers open days for prospective students.",success
Oxford Brookes University (QA),17250.0,18250.0,GBP,21907.5,,,,,,,,Oxford Brookes University has undergraduate open days on June 19-20 and offers late applications for those who missed the January 14 deadline. The university is ranked in the top 10 in South East England and among the world's top universities in 24 subject areas.,success
Solent University (QA),17250.0,18250.0,GBP,21907.5,,,,,September,,,"University is located in Southampton city centre and offers undergraduate, postgraduate, and apprenticeship courses with industry experience opportunities.",success
Royal Holloway (Study Group),21310.0,,GBP,27063.7,,,,,,,Yes,Royal Holloway offers scholarships that provide cash awards or tuition fee reductions. Summer Open Day scheduled for Saturday 13 June for prospective undergraduate students.,success
University of Sheffield (Study Group),21310.0,,GBP,27063.7,,,,,,,,"University offers pathway programmes for international students, visa and immigration support, and an International Summer School. Ranked 92nd globally in QS World University Rankings 2026.",success
Durham University (Study Group),21310.0,,GBP,27063.7,,,,,,,Yes,Durham offers Inspiring Excellence Scholarships for outstanding international students at both undergraduate and postgraduate levels. The university has been named in the top 50 of the world's most international universities.,success
University of Westminster (Kaplan),22760.0,25530.0,GBP,28905.2,,,,,"September, January",,Yes,"Health and life sciences scholarships worth £4.2M available through the Adar Poonawalla Pathways to Excellence programme. University has four campuses across London with facilities including cinema, gallery spaces, and sports facilities.",success
