name,country,city,website
Seneca Polytechnic,Canada,Toronto,https://www.senecapolytechnic.ca
Conestoga College,Canada,Kitchener,https://www.conestogac.on.ca
Alexander College,Canada,Burnaby,https://alexandercollege.ca
KPU Kwantlen Polytechnic University,Canada,Surrey,https://www.kpu.ca
Burgundy School of Business,France,Dijon,https://www.bsb-education.com
Munich Business School,Germany,Munich,https://www.munich-business-school.de
Istanbul Aydin University,Turkey,Istanbul,https://www.aydin.edu.tr/en
Istanbul Gelisim University,Turkey,Istanbul,https://www.gelisim.edu.tr/en
Atilim University,Turkey,Ankara,https://www.atilim.edu.tr/en
Özyeğin University,Turkey,Istanbul,https://www.ozyegin.edu.tr/en
Corvinus University Budapest,Hungary,Budapest,https://www.uni-corvinus.hu/en
LASALLE College of the Arts,Singapore,Singapore,https://www.lasalle.edu.sg
University of Wollongong Malaysia,Malaysia,Kuala Lumpur,https://www.uowmal.edu.my
Marangoni University,Italy,Milan,https://www.istitutomarangoni.com
CATS Global Schools,UK,London,https://www.catsglobalschools.com
Brook House College,UK,London,https://www.brookhouse.co.uk
Braemar College,UK,Warwick,https://www.braemarcollege.co.uk
Highlands School Spain,Spain,Barcelona,https://www.highlandsschool.es
Highlands School UK,UK,London,https://www.highlandsschool.co.uk
Saint Charles International School Switzerland,Switzerland,Montreux,https://www.stcharles.ch
Saint Charles International School UK,UK,London,https://www.saintcharlesschool.co.uk
Saint Charles International School USA,USA,New York,https://www.saintcharlesschool.com
Gannon University,USA,Erie,https://www.gannon.edu
Brimmer and May School,USA,Chestnut Hill,https://www.brimmer.org
Amerigo Education,USA,Los Angeles,https://www.ameri.go
